Date,Company,Title,Location,Description,Level,Type,Function,Industry,Link
3/2/2023,MCNC,Cybersecurity Analyst,"Durham, NC","Company Overview  MCNC is a North Carolina non-profit client-focused technology organization. Founded in 1980, MCNC owns and operates the North Carolina Research and Education Network (NCREN), one of America’s longest-running regional research and education networks. With over 40 years of innovation, MCNC provides protected Internet, cybersecurity services, and related technology services. Learn more about what we do and our service portfolio at www.mcnc.org.        Position Summary  This is a mid-level position in MCNC’s growing cybersecurity operations team that will focus on Palo Alto firewalls. It requires broad and thorough experience with networking, system administration, cybersecurity concepts, vendor engagement, and documentation. Additionally, it requires experience acting as a subject matter expert (SME), addressing escalations, and knowledge sharing. Direct experience with Palo Alto firewalls is required. As part of a growing security operations team, you will support MCNC's cybersecurity solutions and clients by acting as Palo Alto SME and assisting in developing and implementing new processes and technologies to improve MCNC's response capabilities. Additionally, you will provide oversight of our solutions and use them to track and respond to trends across NCREN. If you already support Palo Alto and are ready to expand your skills, or take the next step in your cybersecurity career, this is an excellent opportunity to do so!  Key Responsibilities/Duties  Act as Palo Alto SME and provide escalation support and vendor engagement for Associate Cybersecurity Analysts. Monitor and respond to alerts and events detected and generated by MCNC’s growing portfolio of cybersecurity protection tools. Initial areas of focus will include endpoint protection, vulnerability management, and network security. Utilize available tools and information sources to proactively hunt across the MCNC operating environment to detect areas of potential concern related to cybersecurity. Research security threats and trends and provide summary reports, from available tools, of threats and trends to NCREN and its clients. Create public and private resources and solutions to address security threats Ensure that operational security controls are correctly implemented and that they are performing effectively and efficiently on an ongoing basis. Respond to inquiries from the MCNC community regarding potential cybersecurity issues. Perform security incident response activities, including troubleshooting, triage, containment, recovery, and documentation. Collaborate with other MCNC departments, including Internal Systems, Network Operations, Network Management, and MCNC’s client consulting teams to ensure that actions are appropriate and timely. Recommend and implement improvements to existing processes and technologies to improve overall service delivery. Act as Security SME to address escalations. Additional duties as assigned.  Minimum Education, Experience and Skills Requirements  Accomplished in support Palo Alto firewalls. Proficient with networking and networking concepts. Familiar with Linux/Unix, Mac, and Windows operating systems. Familiar with the following cybersecurity areas:  o Cyber Hygiene  o Patch Management  o Endpoint Protection  o Vulnerability Assessment / Vulnerability Management  o Security Monitoring / Intelligence gathering and analysis  Excellent written and verbal communication skills. Must be able to communicate effectively with coworkers, management team, MCNC customers, and vendors. Must be able to deliver written material and presentations to technical and non-technical audiences. Able to work in a responsible and proactive fashion collaboratively or with minimal direct supervision. Comfortable collaborating across department boundaries to establish positive working relationships and drive operational security improvements without direct control of, or supervision of assets. Comfortable acting as SME and educator to not only junior team members, but also MCNC clients. A willingness to adapt to new solutions as the growing catalog of Vital Cyber offerings evolves and changes over time. Must have a valid driver's license and will be required to drive a company vehicle on company business. Pre-employment and annual MVR checks will be required during your employment with the company for this position in order to be approved to drive a company-owned vehicle. Background and sex offender checks will be performed for pre-employment and annually during your employment with the company. This role will be required to adhere to the MCNC Substance Abuse policy, which may include drug/alcohol screening at hire and periodically or randomly during employment. Proof of full vaccination against COVID-19 with an FDA approved or authorized COVID-19 vaccine will be required for this position, subject to reasonable accommodations required by law. MCNC provides reasonable accommodation in accordance with all applicable law unless such accommodation would pose an undue hardship to MCNC or pose a direct threat to health or safety. Requests for reasonable accommodation must be directed to Human Resources.  The following are not required, but will set you apart from other candidates  Degree in Cybersecurity, Information Technology, Computer Science, or another related field. Relevant industry certifications from CompTIA, ISC2, SANS, Microsoft, Cisco, etc. Public speaking or similar experience.     Disclaimer: The above statements are intended to describe the general nature and level of work performed by employees assigned to this classification. They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills required of personnel so classified.  MCNC is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status or any other characteristic protected by law.",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,https://www.linkedin.com/jobs/view/cybersecurity-analyst-at-mcnc-3504257718?refId=vlaJO0Qlt3D%2F%2FH2ltSOPjw%3D%3D&trackingId=k5MhlR1OSrbFSaMoY1hCww%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
3/8/2023,MCNC,Associate Cybersecurity Analyst,"Durham, NC","         Company OverviewMCNC is a North Carolina non-profit client-focused technology organization. Founded in 1980, MCNC owns and operates the North Carolina Research and Education Network (NCREN), one of America’s longest-running regional research and education networks. With over 40 years of innovation, MCNC provides protected Internet, cybersecurity services, and related technology services. Learn more about what we do and our service portfolio at www.mcnc.org.Position SummaryThis is a mid-level position in MCNC’s growing cybersecurity operations team that will focus on Palo Alto firewalls. It requires broad and thorough experience with networking, system administration, cybersecurity concepts, vendor engagement, and documentation. Additionally, it requires experience acting as a subject matter expert (SME), addressing escalations, and knowledge sharing. Direct experience with Palo Alto firewalls is required. As part of a growing security operations team, you will support MCNC's cybersecurity solutions and clients by acting as Palo Alto SME and assisting in developing and implementing new processes and technologies to improve MCNC's response capabilities. Additionally, you will provide oversight of our solutions and use them to track and respond to trends across NCREN. If you already support Palo Alto and are ready to expand your skills, or take the next step in your cybersecurity career, this is an excellent opportunity to do so! Key Responsibilities/DutiesAct as Palo Alto SME and provide escalation support and vendor engagement for Associate Cybersecurity Analysts.Monitor and respond to alerts and events detected and generated by MCNC’s growing portfolio of cybersecurity protection tools. Initial areas of focus will include endpoint protection, vulnerability management, and network security. Utilize available tools and information sources to proactively hunt across the MCNC operating environment to detect areas of potential concern related to cybersecurity. Research security threats and trends and provide summary reports, from available tools, of threats and trends to NCREN and its clients. Create public and private resources and solutions to address security threatsEnsure that operational security controls are correctly implemented and that they are performing effectively and efficiently on an ongoing basis.Respond to inquiries from the MCNC community regarding potential cybersecurity issues. Perform security incident response activities, including troubleshooting, triage, containment, recovery, and documentation.Collaborate with other MCNC departments, including Internal Systems, Network Operations, Network Management, and MCNC’s client consulting teams to ensure that actions are appropriate and timely.Recommend and implement improvements to existing processes and technologies to improve overall service delivery.Act as Security SME to address escalations.Additional duties as assigned. Minimum Education, Experience and Skills RequirementsAccomplished in support Palo Alto firewalls.Proficient with networking and networking concepts.Familiar with Linux/Unix, Mac, and Windows operating systems. Familiar with the following cybersecurity areas:o Cyber Hygieneo Patch Managemento Endpoint Protectiono Vulnerability Assessment / Vulnerability Managemento Security Monitoring / Intelligence gathering and analysisExcellent written and verbal communication skills. Must be able to communicate effectively with coworkers, management team, MCNC customers, and vendors. Must be able to deliver written material and presentations to technical and non-technical audiences.Able to work in a responsible and proactive fashion collaboratively or with minimal direct supervision.Comfortable collaborating across department boundaries to establish positive working relationships and drive operational security improvements without direct control of, or supervision of assets.Comfortable acting as SME and educator to not only junior team members, but also MCNC clients. A willingness to adapt to new solutions as the growing catalog of Vital Cyber offerings evolves and changes over time.Must have a valid driver's license and will be required to drive a company vehicle on company business. Pre-employment and annual MVR checks will be required during your employment with the company for this position in order to be approved to drive a company-owned vehicle.Background and sex offender checks will be performed for pre-employment and annually during your employment with the company.This role will be required to adhere to the MCNC Substance Abuse policy, which may include drug/alcohol screening at hire and periodically or randomly during employment.Proof of full vaccination against COVID-19 with an FDA approved or authorized COVID-19 vaccine will be required for this position, subject to reasonable accommodations required by law. MCNC provides reasonable accommodation in accordance with all applicable law unless such accommodation would pose an undue hardship to MCNC or pose a direct threat to health or safety. Requests for reasonable accommodation must be directed to Human Resources. The following are not required, but will set you apart from other candidatesDegree in Cybersecurity, Information Technology, Computer Science, or another related field. Relevant industry certifications from CompTIA, ISC2, SANS, Microsoft, Cisco, etc.Public speaking or similar experience. Disclaimer: The above statements are intended to describe the general nature and level of work performed by employees assigned to this classification. They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills required of personnel so classified.MCNC is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status or any other characteristic protected by law.       ",             Mid-Senior level           ,           Full-time         ,             Information Technology           ,           IT Services and IT Consulting           ,https://www.linkedin.com/jobs/view/associate-cybersecurity-analyst-at-mcnc-3514189992?refId=vlaJO0Qlt3D%2F%2FH2ltSOPjw%3D%3D&trackingId=zzO5gHP%2Bbu6ABZNmwxaGCw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2/23/2023,CuraLinc Healthcare,Security Analyst,United States,"         Company OverviewMCNC is a North Carolina non-profit client-focused technology organization. Founded in 1980, MCNC owns and operates the North Carolina Research and Education Network (NCREN), one of America’s longest-running regional research and education networks. With over 40 years of innovation, MCNC provides protected Internet, cybersecurity services, and related technology services. Learn more about what we do and our service portfolio at www.mcnc.org. Position SummaryThis is a junior-level position in MCNC’s growing cybersecurity operations team. It requires experience with networking, system administration, cybersecurity concepts, and a self-reliance in being able to research new concepts as you encounter them. Direct experience with cybersecurity solutions is a plus but is not required. As part of a growing security operations team, you will support MCNC's cybersecurity solutions and clients by identifying threats and vulnerabilities, responding to them, and working to mitigate or remediate them. Additionally, you will assist in developing and implementing new processes and technologies to improve MCNC's response capabilities. If you are looking to break into cybersecurity, this is an excellent opportunity to do so! Key Responsibilities/DutiesMonitor and respond to alerts and events detected and generated by MCNC’s growing portfolio of cybersecurity protection tools. Initial areas of focus will include endpoint protection, vulnerability management, and network security. Utilize available tools and information sources to proactively hunt across the MCNC operating environment to detect areas of potential concern related to cybersecurity. Respond to inquiries from the MCNC community regarding potential cybersecurity issues.Perform security incident response activities, including troubleshooting, triage, containment, recovery, and documentation.Collaborate with other MCNC departments, including Internal Systems, Network Operations, Network Management, and MCNC’s client consulting teams to ensure that actions are appropriate and timely.Recommend and implement improvements to existing processes and technologies to improve overall service delivery.Continuously research security trends to understand the latest threats affecting the MCNC community, and apply those learnings to MCNC’s cybersecurity operations.Additional duties as assigned. Minimum Education, Experience and Skills RequirementsExperience in a hands-on systems administration / technology integration role. Experience in a security engineering/security operations administration role is a plus.Understanding of and experience with networking and networking concepts.Experience with Linux/Unix, Mac, and Windows operating systems. Exposure to and familiarity with the following cybersecurity areas: o Cyber Hygiene o Patch Management o Endpoint Protection o Vulnerability Assessment / Vulnerability Management o Security Monitoring / Intelligence gathering and analysisExcellent written and verbal communication skills. Must be able to communicate effectively with coworkers, management team, MCNC customers, and vendors. Must be able to deliver written material and presentations to technical and non-technical audiences.Able to work in a responsible and proactive fashion collaboratively or with minimal direct supervision.Comfortable collaborating across department boundaries to establish positive working relationships and drive operational security improvements without direct control of, or supervision of assets.A willingness to adapt to new solutions as the growing catalog of Vital Cyber offerings evolves and changes over time.Must have a valid driver's license and will be required to drive a company vehicle on company business. Pre-employment and annual MVR checks will be required during your employment with the company for this position in order to be approved to drive a company-owned vehicleBackground and sex offender checks will be performed for pre-employment and annually during your employment with the company.This role will be required to adhere to the MCNC Substance Abuse policy, which may include drug/alcohol screening at hire and periodically or randomly during employment.Proof of full vaccination against COVID-19 with an FDA approved or authorized COVID-19 vaccine will be required for this position, subject to reasonable accommodations required by law. MCNC provides reasonable accommodation in accordance with all applicable law unless such accommodation would pose an undue hardship to MCNC or pose a direct threat to health or safety. Requests for reasonable accommodation must be directed to Human Resources. The following are not required, but will set you apart from other candidatesDegree in Cybersecurity, Information Technology, Computer Science, or another related field. Relevant industry certifications from CompTIA, ISC2, SANS, Microsoft, Cisco, Palo Alto etc.Experience in Scripting, Automation, API usage, Git, etc. Disclaimer: The above statements are intended to describe the general nature and level of work performed by employees assigned to this classification. They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills required of personnel so classified. MCNC is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status or any other characteristic protected by law.       ",             Mid-Senior level           ,           Full-time         ,             Information Technology           ,           IT Services and IT Consulting           ,https://www.linkedin.com/jobs/view/security-analyst-at-curalinc-healthcare-3494565759?refId=vlaJO0Qlt3D%2F%2FH2ltSOPjw%3D%3D&trackingId=IznRlqHXS6YZCff4C%2Be0mA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3/18/2023,VForce Infotech,Cyber Security Analyst,"Edison, NJ","         CuraLinc Healthcare is seeking a talented Security Analyst to join our team. The Security Analyst is both an independent contributor and a critical part of CuraLinc's security team to identify and solve security risks related to all technology and business processes.CuraLinc Healthcare delivers transformative mental health care fueled by connectivity, marrying technology and personalized advocacy to support thousands of employers and millions of their employees throughout their mental health care journey.CuraLinc Healthcare is a service-driven organization whose employees are treated with professionalism and respect. We believe that ""a chain is only as strong as its weakest link"" and, therefore, look to hire high-performing professionals with outstanding experience, work ethic and character.Primary ResponsibilitiesCreate and Analyze Security Policies and Procedures to Determine Weakness in Existing InfrastructureComplete Thorough Audit of Existing Measures on a Routine Basis and as NeededRespond to Current and Prospective Customer Requests for Information (RFI) and Security AssessmentsWork with Our Third-Party Providers to Ensure Their Compliance with Security Policies and ProceduresConduct Annual Penetration and Risk Assessments of the Company Owned and Operated ApplicationsPerform Quarterly Log Reviews, Administrative Access Reviews, and Firewall Configuration ReviewsMonitor Network Traffic as an Intrusion Prevention Specialist to Detect Possible Threats and Respond to Threats Immediately as They OccurEnsure That the Company Security Policies, Processes and Procedures Remain in Alignment with the Company's Cyber Insurance Policy(s)Required/Minimum QualificationsBA/BS Degree is Required in Computer Science, Cyber Security, Information Security, Information TechnologyFive Years' Experience Working with Technical Security Strategies at a Senior Level or AboveWorking Knowledge of HIPAA and HITECH to Ensure our Systems and Technology are Compliant with Current RequirementsExperience with Log Analysis and Familiarity with Various SIEM Tools (Splunk, Elastic, Arcsight, Qradar, Etc.)Demonstrated Ability to Work Solo and Lead a Team of Subordinates to Prioritize Tasks and Run an Efficient DepartmentThorough Understanding of Web Development, HTTP, HTML, and Application SecurityComputer Forensics Specialist Credential Along with Proof of OWASP Security Standards CertificateExcellent Communication Skills, Both Written and VerbalThis is a full-time, salaried role and includes a robust benefits package, with 100% company-paid single tier medical coverage insurance, PTO, 401(k) with match, dental, vision, life, and disability insurance.CuraLinc is an Equal Opportunity Employer and does not discriminate on the basis of race, religion, color, sex, age, national origin or disability.       ",             Mid-Senior level           ,           Full-time         ,             Information Technology           ,           Wellness and Fitness Services           ,https://www.linkedin.com/jobs/view/cyber-security-analyst-at-vforce-infotech-3534115851?refId=vlaJO0Qlt3D%2F%2FH2ltSOPjw%3D%3D&trackingId=d4mgdDoZKHenvsWi27iGbw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
3/20/2023,Irvine Technology Corporation,Security Operations Center Analyst,"Houston, TX","         CuraLinc Healthcare is seeking a talented Security Analyst to join our team. The Security Analyst is both an independent contributor and a critical part of CuraLinc's security team to identify and solve security risks related to all technology and business processes.CuraLinc Healthcare delivers transformative mental health care fueled by connectivity, marrying technology and personalized advocacy to support thousands of employers and millions of their employees throughout their mental health care journey.CuraLinc Healthcare is a service-driven organization whose employees are treated with professionalism and respect. We believe that ""a chain is only as strong as its weakest link"" and, therefore, look to hire high-performing professionals with outstanding experience, work ethic and character.Primary ResponsibilitiesCreate and Analyze Security Policies and Procedures to Determine Weakness in Existing InfrastructureComplete Thorough Audit of Existing Measures on a Routine Basis and as NeededRespond to Current and Prospective Customer Requests for Information (RFI) and Security AssessmentsWork with Our Third-Party Providers to Ensure Their Compliance with Security Policies and ProceduresConduct Annual Penetration and Risk Assessments of the Company Owned and Operated ApplicationsPerform Quarterly Log Reviews, Administrative Access Reviews, and Firewall Configuration ReviewsMonitor Network Traffic as an Intrusion Prevention Specialist to Detect Possible Threats and Respond to Threats Immediately as They OccurEnsure That the Company Security Policies, Processes and Procedures Remain in Alignment with the Company's Cyber Insurance Policy(s)Required/Minimum QualificationsBA/BS Degree is Required in Computer Science, Cyber Security, Information Security, Information TechnologyFive Years' Experience Working with Technical Security Strategies at a Senior Level or AboveWorking Knowledge of HIPAA and HITECH to Ensure our Systems and Technology are Compliant with Current RequirementsExperience with Log Analysis and Familiarity with Various SIEM Tools (Splunk, Elastic, Arcsight, Qradar, Etc.)Demonstrated Ability to Work Solo and Lead a Team of Subordinates to Prioritize Tasks and Run an Efficient DepartmentThorough Understanding of Web Development, HTTP, HTML, and Application SecurityComputer Forensics Specialist Credential Along with Proof of OWASP Security Standards CertificateExcellent Communication Skills, Both Written and VerbalThis is a full-time, salaried role and includes a robust benefits package, with 100% company-paid single tier medical coverage insurance, PTO, 401(k) with match, dental, vision, life, and disability insurance.CuraLinc is an Equal Opportunity Employer and does not discriminate on the basis of race, religion, color, sex, age, national origin or disability.       ",             Mid-Senior level           ,           Full-time         ,             Information Technology           ,           Wellness and Fitness Services           ,https://www.linkedin.com/jobs/view/security-operations-center-analyst-at-irvine-technology-corporation-3529575928?refId=vlaJO0Qlt3D%2F%2FH2ltSOPjw%3D%3D&trackingId=MRoBxYaHp6bBcQQn8V5YqA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
3/20/2023,Trava,Cybersecurity Intern,"Indianapolis, IN","         CuraLinc Healthcare is seeking a talented Security Analyst to join our team. The Security Analyst is both an independent contributor and a critical part of CuraLinc's security team to identify and solve security risks related to all technology and business processes.CuraLinc Healthcare delivers transformative mental health care fueled by connectivity, marrying technology and personalized advocacy to support thousands of employers and millions of their employees throughout their mental health care journey.CuraLinc Healthcare is a service-driven organization whose employees are treated with professionalism and respect. We believe that ""a chain is only as strong as its weakest link"" and, therefore, look to hire high-performing professionals with outstanding experience, work ethic and character.Primary ResponsibilitiesCreate and Analyze Security Policies and Procedures to Determine Weakness in Existing InfrastructureComplete Thorough Audit of Existing Measures on a Routine Basis and as NeededRespond to Current and Prospective Customer Requests for Information (RFI) and Security AssessmentsWork with Our Third-Party Providers to Ensure Their Compliance with Security Policies and ProceduresConduct Annual Penetration and Risk Assessments of the Company Owned and Operated ApplicationsPerform Quarterly Log Reviews, Administrative Access Reviews, and Firewall Configuration ReviewsMonitor Network Traffic as an Intrusion Prevention Specialist to Detect Possible Threats and Respond to Threats Immediately as They OccurEnsure That the Company Security Policies, Processes and Procedures Remain in Alignment with the Company's Cyber Insurance Policy(s)Required/Minimum QualificationsBA/BS Degree is Required in Computer Science, Cyber Security, Information Security, Information TechnologyFive Years' Experience Working with Technical Security Strategies at a Senior Level or AboveWorking Knowledge of HIPAA and HITECH to Ensure our Systems and Technology are Compliant with Current RequirementsExperience with Log Analysis and Familiarity with Various SIEM Tools (Splunk, Elastic, Arcsight, Qradar, Etc.)Demonstrated Ability to Work Solo and Lead a Team of Subordinates to Prioritize Tasks and Run an Efficient DepartmentThorough Understanding of Web Development, HTTP, HTML, and Application SecurityComputer Forensics Specialist Credential Along with Proof of OWASP Security Standards CertificateExcellent Communication Skills, Both Written and VerbalThis is a full-time, salaried role and includes a robust benefits package, with 100% company-paid single tier medical coverage insurance, PTO, 401(k) with match, dental, vision, life, and disability insurance.CuraLinc is an Equal Opportunity Employer and does not discriminate on the basis of race, religion, color, sex, age, national origin or disability.       ",             Mid-Senior level           ,           Full-time         ,             Information Technology           ,           Wellness and Fitness Services           ,https://www.linkedin.com/jobs/view/cybersecurity-intern-at-trava-3532261289?refId=vlaJO0Qlt3D%2F%2FH2ltSOPjw%3D%3D&trackingId=10rBgGyK7zl2H%2Bygk4qiVg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
3/21/2023,Aegistech,SOC Analyst,"Houston, TX","         Trava: Headquartered in Indianapolis, Indiana, Trava exists to protect small and midsize businesses from the potential damage of cyber threats. By integrating assessment, mitigation, and insurance into one, convenient cyber risk management platform, Trava enables business owners and IT professionals to operate secure, productive businesses without fear of interruption or loss caused by cyber incidents. Whether you run a business or provide support services to small and mid-market clients, Trava can help you manage cyber risk in a new—and better—way. To learn more about Trava, visit travasecurity.com.What we look for in team members: We are all life-long learners and value people who share that curiosity. As a startup, we have to be nimble (translation - we don't always know all the answers), so dealing with ambiguity and uncertainty is essential. We look for people who are brave when it comes to trying new things, and we look to everyone on the team to contribute and speak up. And finally, we like to have fun. While we take our work seriously, we try not to take ourselves too seriously. We're looking for teammates who can join us for a laugh!About this role: Trava is passionate about developing new cybersecurity talent and exposing interested individuals to the wide range of possibilities in the field of cybersecurity. You will gain experience across multiple cybersecurity domains and have opportunities to implement cybersecurity tools and contribute to projects to enhance Trava's security posture.Compensation: $20/hourWhat you'll do: As a Cybersecurity Intern, you will have the opportunity to contribute to enhancing Trava's security posture. Responsibilities include but are not limited to:Assist with implementation of security controls as directed by the Senior Security EngineerResearch security solutions to enhance Trava's cybersecurity postureRun periodic security scans against Trava's environmentAssist with documentation of cybersecurity proceduresAssist with security awareness training and phishing campaignsProvide internal IT and security support to Trava employeesIdentify opportunities for automation in routine security operationsWhat you'll need: College student majoring in a cybersecurity field or related IT or Computer Science fields with a curiosity for cybersecuritySome basic knowledge of a scripting language (i.e. Python, Powershell) is a plusExcellent verbal and written communications skillsHunger to learn about cybersecurityStrong team playerEmpathy for customers' Trava experience coupled with unwavering determination to assure the best customer experience possible Good organizational and time management skillsAt Trava: We take care of ourselves and our families so that we can bring our very best to workWe are transparent and honest with our customers, our business partners, and each otherWe believe that laughter makes us more productiveWe are obsessed with our customers' successWe advocate for diversity in all its formsTrava is an equal-opportunity employer, and we value diversity at our company. We don't discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.       ",             Internship           ,           Internship         ,             Engineering and Information Technology           ,"           Technology, Information and Internet           ",https://www.linkedin.com/jobs/view/soc-analyst-at-aegistech-3529352173?refId=vlaJO0Qlt3D%2F%2FH2ltSOPjw%3D%3D&trackingId=2TtN4F99H2HTzs7eckWVZA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
3/18/2023,"Peridot Solutions, LLC",Cyber Threat Analyst,"Washington, DC","         A SOC Analyst job is available for our client, a well-known Global Investment Bank. Candidates must live in the Houston, TX area for this Full-Time and Hybrid role, willing to commute to their office 3 days/week for this Wednesday to Sunday work schedule.You will be a member of the Cyber Threat Incident Response. In this role, you will be working alongside a diverse team in multiple offices around the globe and be responsible for detecting, identifying, triaging, and mitigating threats and risks in their global cyber environment. You will also act to ensure that the client’s digital estate is protected from threats both known and unknown.THE DAY-TO-DAY RESPONSIBILITIES:Triage active alerts and campaigns for potential systemic threats to our global business.Proactively seek out suspicious activity and threats within the environment, act appropriately to contain and mitigate them.Perform real-time detection, analysis, and response to threats via an EDR tool.Analyze attacks and trends facing the organization and industry to better define proactive defensive measures.Track, provide, and present analysis into observed attacks against the client.Take proactive actions to have observed brand impersonating and malicious sites removed.Review processes, defense plane, technologies, and alerts in search of improvement.Participate in ongoing and annual role and level-specific training as part of the team development plan, understanding that actor methodologies are constantly advancing, so all teammates must evolve to stay ahead of our adversaries.THE SKILLS YOU NEED TO GET THE ROLE:Your first-class technical skills are required to continuously identify, assess, and manage threats relative to the corporate risk appetite by leveraging technology and your experience to analyze data. Experience in log aggregation and analysis will be crucial in detecting and triaging potential or active security incidents.Must have a minimum of 1-2 years of related security experience in enterprise environments.Must have a strong understanding of security technology and defense topologies.Splunk or other large log aggregation system.An Endpoint detection and response (EDR) platform.Email gateway security controls.Analyzing Emails (e.g. reading and understanding email headers, Infrastructure).Analytical mindset.Offensive Security/Adversarial mindset.Familiarity with various network or Cloud architectures.Identity and Access Management (IAM).User and Entity Behavior Analytics (UBA/UEBA).       ",             Mid-Senior level           ,           Full-time         ,             Information Technology           ,"           Capital Markets, Financial Services, and Investment Banking           ",https://www.linkedin.com/jobs/view/cyber-threat-analyst-at-peridot-solutions-llc-3534107692?refId=vlaJO0Qlt3D%2F%2FH2ltSOPjw%3D%3D&trackingId=nDNSJb1Add58I%2FRX%2F8%2FLnw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
3/21/2023,Insight Global,Cyber Security Analyst,United States,"         A SOC Analyst job is available for our client, a well-known Global Investment Bank. Candidates must live in the Houston, TX area for this Full-Time and Hybrid role, willing to commute to their office 3 days/week for this Wednesday to Sunday work schedule.You will be a member of the Cyber Threat Incident Response. In this role, you will be working alongside a diverse team in multiple offices around the globe and be responsible for detecting, identifying, triaging, and mitigating threats and risks in their global cyber environment. You will also act to ensure that the client’s digital estate is protected from threats both known and unknown.THE DAY-TO-DAY RESPONSIBILITIES:Triage active alerts and campaigns for potential systemic threats to our global business.Proactively seek out suspicious activity and threats within the environment, act appropriately to contain and mitigate them.Perform real-time detection, analysis, and response to threats via an EDR tool.Analyze attacks and trends facing the organization and industry to better define proactive defensive measures.Track, provide, and present analysis into observed attacks against the client.Take proactive actions to have observed brand impersonating and malicious sites removed.Review processes, defense plane, technologies, and alerts in search of improvement.Participate in ongoing and annual role and level-specific training as part of the team development plan, understanding that actor methodologies are constantly advancing, so all teammates must evolve to stay ahead of our adversaries.THE SKILLS YOU NEED TO GET THE ROLE:Your first-class technical skills are required to continuously identify, assess, and manage threats relative to the corporate risk appetite by leveraging technology and your experience to analyze data. Experience in log aggregation and analysis will be crucial in detecting and triaging potential or active security incidents.Must have a minimum of 1-2 years of related security experience in enterprise environments.Must have a strong understanding of security technology and defense topologies.Splunk or other large log aggregation system.An Endpoint detection and response (EDR) platform.Email gateway security controls.Analyzing Emails (e.g. reading and understanding email headers, Infrastructure).Analytical mindset.Offensive Security/Adversarial mindset.Familiarity with various network or Cloud architectures.Identity and Access Management (IAM).User and Entity Behavior Analytics (UBA/UEBA).       ",             Mid-Senior level           ,           Full-time         ,             Information Technology           ,"           Capital Markets, Financial Services, and Investment Banking           ",https://www.linkedin.com/jobs/view/cyber-security-analyst-at-insight-global-3531059622?refId=vlaJO0Qlt3D%2F%2FH2ltSOPjw%3D%3D&trackingId=gVrfN20rOUk0feJGEQRDgg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
3/8/2023,Premier Group Recruitment,Security Analyst,New York City Metropolitan Area,"         A SOC Analyst job is available for our client, a well-known Global Investment Bank. Candidates must live in the Houston, TX area for this Full-Time and Hybrid role, willing to commute to their office 3 days/week for this Wednesday to Sunday work schedule.You will be a member of the Cyber Threat Incident Response. In this role, you will be working alongside a diverse team in multiple offices around the globe and be responsible for detecting, identifying, triaging, and mitigating threats and risks in their global cyber environment. You will also act to ensure that the client’s digital estate is protected from threats both known and unknown.THE DAY-TO-DAY RESPONSIBILITIES:Triage active alerts and campaigns for potential systemic threats to our global business.Proactively seek out suspicious activity and threats within the environment, act appropriately to contain and mitigate them.Perform real-time detection, analysis, and response to threats via an EDR tool.Analyze attacks and trends facing the organization and industry to better define proactive defensive measures.Track, provide, and present analysis into observed attacks against the client.Take proactive actions to have observed brand impersonating and malicious sites removed.Review processes, defense plane, technologies, and alerts in search of improvement.Participate in ongoing and annual role and level-specific training as part of the team development plan, understanding that actor methodologies are constantly advancing, so all teammates must evolve to stay ahead of our adversaries.THE SKILLS YOU NEED TO GET THE ROLE:Your first-class technical skills are required to continuously identify, assess, and manage threats relative to the corporate risk appetite by leveraging technology and your experience to analyze data. Experience in log aggregation and analysis will be crucial in detecting and triaging potential or active security incidents.Must have a minimum of 1-2 years of related security experience in enterprise environments.Must have a strong understanding of security technology and defense topologies.Splunk or other large log aggregation system.An Endpoint detection and response (EDR) platform.Email gateway security controls.Analyzing Emails (e.g. reading and understanding email headers, Infrastructure).Analytical mindset.Offensive Security/Adversarial mindset.Familiarity with various network or Cloud architectures.Identity and Access Management (IAM).User and Entity Behavior Analytics (UBA/UEBA).       ",             Mid-Senior level           ,           Full-time         ,             Information Technology           ,"           Capital Markets, Financial Services, and Investment Banking           ",https://www.linkedin.com/jobs/view/security-analyst-at-premier-group-recruitment-3517959580?refId=vlaJO0Qlt3D%2F%2FH2ltSOPjw%3D%3D&trackingId=L626IkaneR%2FHwCMT6Op4MA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
